0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-01 5.204999e-01 4.794255e-01
1.000000e+00 8.427008e-01 8.414710e-01
1.500000e+00 9.661051e-01 9.974950e-01
2.000000e+00 9.953223e-01 9.092974e-01



0.000000e+00 0.000000e+00 0.000000e+00
2.250000e-01 2.496653e-01 2.231064e-01
4.500000e-01 4.754817e-01 4.349655e-01
6.750000e-01 6.602170e-01 6.248973e-01
9.000000e-01 7.969082e-01 7.833269e-01
1.125000e+00 8.883882e-01 9.022676e-01
1.350000e+00 9.437622e-01 9.757234e-01
1.575000e+00 9.740785e-01 9.999912e-01
1.800000e+00 9.890905e-01 9.738476e-01
